source,target,value,
Henry Jenkins,David Bordwell,1
Henry Jenkins,John Fiske,1
Henry Jenkins,Janice Radway,1
Henry Jenkins,John Tulloch,1
Henry Jenkins,Camille Bacon-Smith,1
Henry Jenkins,Michel de Certeau,1
Henry Jenkins,E. P. Thompson,1
Henry Jenkins,Pierre Levy,1
Henry Jenkins,Ien Ang,1
Henry Jenkins,David Morley,1
Alice O'Driscoll,Henry Jenkins,0.5
Cynthia Jenkins,Henry Jenkins,0.5
John Tulloch,Henry Jenkins,0.5
Mark Deuze,Henry Jenkins,0.5
David Thorburn,Henry Jenkins,0.5
Eric Klopfer,Henry Jenkins,0.5
Justine Cassell,Henry Jenkins,0.5
Kurt Squire,Henry Jenkins,0.5
Sam Ford,Henry Jenkins,0.5
Joshua Green,Henry Jenkins,0.5
John Fiske,Raymond Williams,1
John Fiske,Roland Barthes,1
John Fiske,Ondina Fachel Leal,1
John Fiske,Dorothy Hobson,1
John Fiske,Pierre Bourdieu,1
John Fiske,John Tulloch,1
John Fiske,Janice Radway,1
John Fiske,Camille Bacon-Smith,1
John Fiske,Michel de Certeau,1
John Fiske,E. P. Thompson,1
John Hartley,John Fiske,0.5
P. David Marshall,John Fiske,0.5
Lisa Freeman,John Fiske,0.5
Bob Hodge,John Fiske,0.5
Graeme Turner,John Fiske,0.5
Kevin Glynn,John Fiske,0.5
Jon Watts,John Fiske,0.5
David Bordwell,James Dudley Andrew,1
James Dudley Andrew,Angelo P. Bertocci,1
Angelo P. Bertocci,Charles Du Bos,1
Kristin Thompson,David Bordwell,0.5
Janet Staiger,David Bordwell,0.5
Noel Carroll,David Bordwell,0.5
Joseph D. Anderson,David Bordwell,0.5
Barbara Fisher Anderson,David Bordwell,0.5
Janice Radway,Russel B. Nye,1
Janice Radway,E. Fred Carlisle,1
Kevin Gaines,Janice Radway,0.5
Barry Shank,Janice Radway,0.5
Penny Von Eschen,Janice Radway,0.5
Deborah Lupton,John Tulloch,0.5
Jeremy Ahearne,Michel de Certeau,0.5
Luce Giard,Michel de Certeau,0.5
Fredric Jameson,Michel de Certeau,0.5
E. P. Thompson,Karl Marx,1
Douglas Hay,E. P. Thompson,0.5
Peter Linebaugh,E. P. Thompson,0.5
John G. Rule,E. P. Thompson,0.5
Cal Winslow,E. P. Thompson,0.5
Carlos Irineu da Costa,Pierre Levy,0.5
Jon Stratton,Ien Ang,0.5
Jeffrey E. Brand,Ien Ang,0.5
Kevin Robins,David Morley,0.5
Roger Silverstone,David Morley,0.5
Kuan-Hsing Chen,David Morley,0.5
Sara Platon,Mark Deuze,0.5
Jo Bardoel,Mark Deuze,0.5
Axel Bruns,Mark Deuze,0.5
Christoph Neuberger,Mark Deuze,0.5
Howard Eiland,David Thorburn,0.5
Kurt Squire,Eric Klopfer,0.5
Susan Yoon,Eric Klopfer,0.5
Vanessa Stevens Colella,Eric Klopfer,0.5
Mitchel Resnick,Eric Klopfer,0.5
Justine Cassell,David McNeill,1
David McNeill,Leo Postman,1
Hannes Hogni Vilhjalmsson,Justine Cassell,0.5
Timothy Bickmore,Justine Cassell,0.5
Kristinn R. Thorisson,Justine Cassell,0.5
Timothy Bickmore,Justine Cassell,0.5
Kimiko Ryokai,Justine Cassell,0.5
David McNeill,Justine Cassell,0.5
Karl-Erik McCullough,Justine Cassell,0.5
Yukiko I. Nakano,Justine Cassell,0.5
Gabe Reinstein,Justine Cassell,0.5
Tom Stocky,Justine Cassell,0.5
Kurt Squire,Thomas Duffy,1
Kurt Squire,Lee Ehman,1
Kurt Squire,Sasha Barab,1
Sasha Barab,Kurt Squire,0.5
David Williamson Shaffer,Kurt Squire,0.5
Richard Halverson,Kurt Squire,0.5
James P. Gee,Kurt Squire,0.5
Mingfong Jan,Kurt Squire,0.5
Michael Barnett,Kurt Squire,0.5
Sam Ford,Joshua Green,0.5
Joshua Green,Sam Ford,0.5
Jean Burgess,Joshua Green,0.5
Raymond Williams,Karl Marx,1
Raymond Williams,Eric Hobsbawm,1
Raymond Williams,Pierre Bourdieu,1
Michael Orrom,Raymond Williams,0.5
E. P. Thompson,Raymond Williams,0.5
Roland Barthes,Honore de Balzac,1
Lionel Duisit,Roland Barthes,0.5
Susan Sontag,Roland Barthes,0.5
Ondina Fachel Leal,Pierre Bourdieu,1
Ondina Fachel Leal,Michel de Certeau,1
Ondina Fachel Leal,Claude Levi-Strauss,1
Ondina Fachel Leal,Ruben Oliven,1
Pierre Bourdieu,Karl Marx,1
Pierre Bourdieu,Max Weber,1
LJD Wacquant,Pierre Bourdieu,0.5
