name,field
Henry Jenkins,one
David Bordwell,one
John Fiske,two
Janice Radway,two
John Tulloch,one
Camille Bacon-Smith,one
Michel de Certeau,three
E. P. Thompson,three
Pierre Levy,one
Ien Ang,two
David Morley,one
Alice O'Driscoll,four
Cynthia Jenkins,one
Mark Deuze,one
David Thorburn,one
Eric Klopfer,four
Justine Cassell,four
Kurt Squire,four
Sam Ford,one
Joshua Green,one
Raymond Williams,one
Roland Barthes,five
Ondina Fachel Leal,five
Dorothy Hobson,one
Pierre Bourdieu,three
John Hartley,two
P. David Marshall,one
Lisa Freeman,two
Bob Hodge,two
Graeme Turner,two
Kevin Glynn,two
Jon Watts,two
James Dudley Andrew,one
Angelo P. Bertocci,five
Charles Du Bos,five
Kristin Thompson,one
Janet Staiger,one
Noel Carroll,six
Joseph D. Anderson,one
Barbara Fisher Anderson,one
Russel B. Nye,five
E. Fred Carlisle,three
Kevin Gaines,two
Barry Shank,two
Penny Von Eschen,two
Deborah Lupton,three
Jeremy Ahearne,two
Luce Giard,two
Fredric Jameson,two
Karl Marx,six
Douglas Hay,three
Peter Linebaugh,three
John G. Rule,three
Cal Winslow,three
Carlos Irineu da Costa,one
Jon Stratton,two
Jeffrey E. Brand,one
Kevin Robins,two
Roger Silverstone,one
Kuan-Hsing Chen,one
Sara Platon,one
Jo Bardoel,one
Axel Bruns,one
Christoph Neuberger,one
Howard Eiland,five
Susan Yoon,four
Vanessa Stevens Colella,four
Mitchel Resnick,four
David McNeill,four
Leo Postman,four
Hannes Hogni Vilhjalmsson,four
Timothy Bickmore,four
Kristinn R. Thorisson,four
Kimiko Ryokai,four
Karl-Erik McCullough,four
Yukiko I. Nakano,four
Gabe Reinstein,four
Tom Stocky,four
Thomas Duffy,four
Lee Ehman,four
Sasha Barab,four
David Williamson Shaffer,four
Richard Halverson,four
James P. Gee,four
Mingfong Jan,four
Michael Barnett,four
Jean Burgess,one
Eric Hobsbawm,three
Michael Orrom,one
Honore de Balzac,five
Lionel Duisit,five
Susan Sontag,five
Claude Levi-Strauss,three
Ruben Oliven,three
Max Weber,six
LJD Wacquant,three
